Timestamp,Asset,Name,Chain,DEX,Pair Address,Token Address,Price USD,Momentum %,Buy Pressure,Volume USD,Liquidity USD,Horizon
2026-08-19T09:43:00+00:00,LEMON/WETH,Lemon.fun,robinhood,uniswap,0x01fe057d1C5FB09A4ac02860758DDf26Df9336B5,0xf0E17e54239CD945Cd7bEa471a3a2CA6a8C7f7A3,0.001068,0.92,-0.4347826086956521,1175.03,151295.04,h1
2026-08-19T09:43:00+00:00,GUH/ETH,guh,robinhood,uniswap,0xa0736f92854c6ef707d8c50ad106a93a1166d6497012db3e25b1d494d0a9b97d,0x601d03F379303C2ca5c2D8711B22CB96b294f3d7,0.0001876,0.1,-0.5,76.24,98950.23,h1
2026-08-19T09:43:00+00:00,CATSEYE/SOL,CATSEYE,solana,pumpswap,AXNo7fLEPFEKR8zmjkeoUJhj3bcWE1PnycufUw1veLPr,7TGno7LGF4mJHT1mvBMsthaEmavcKM5H8ojXCVcJpump,5.726e-06,-1.86,-1.0,15.09,4297.0,h1
2026-08-19T09:45:00+00:00,UTANG/SOL,UTANG,solana,pumpswap,HsVXAyoM24AKSq3xdKeR4aDFJ9gKZAN8JNcguj9zHvnn,3CCGVkwXXTQLDL3HUqV2fBBzazHopMrWYgqU5wvvpump,1.442e-06,-99.18,0.19762800775459,93100.23,1466.82,h1
2026-08-19T09:45:00+00:00,GOKU/SOL,Raj Goku,solana,pumpswap,8nkY4EvYR2JJeyNZEQQoHNXz4v5AEqbrj6t1yhXwtmkD,8nQiFQVVrqs2om3DjeUqVECg3qDYyMjREC6AzFWyGoKU,2.132e-05,-32.96,0.0687022900763358,12625.24,9412.82,h1
2026-08-19T09:45:00+00:00,NLYRA/WETH,Neron Lyra,robinhood,uniswap,0x483C24d1e36Df01b650F1E9BEEB2a1c31C005C39,0xB9d3824149aD8ac984153CeEc91D5a2405d1FB95,6.073e-05,0.94,1.0,39.7,22628.92,h1
2026-08-19T09:45:00+00:00,SOLUG/SOL,Solug,solana,pumpswap,HyPxvGY6wr3f2osi5NDAnAZ2W8wJ185yUKMy37SbHWvC,FJBWgfc8wdEeUc2n7BN9EcmEJQUauvvpp9ZXvmF2pump,0.0006987,69.33,0.3057233247052056,186293.5,65846.56,h1
2026-08-19T09:45:00+00:00,ANSEMSZN/SOL,Ansem Season,solana,pumpswap,EfZSY5rEbGymT6zfBiovR6ty9GosqjEs6bs6hmTkrv1c,5gkuTAKAskEhhc1D6ACtF6mmstfCg2Ldm5qT4C84pump,8.738e-05,-48.85,0.1317014566751764,118161.08,25373.06,h1
2026-08-19T09:45:00+00:00,NEWBIE/SOL,Newbie,solana,pumpswap,CcfmG8AruateK12bhMo2BHNYQiQ1JiWLyTBzmMwKuZip,4Xg9qDuEP1vMEwqMr2yWo92Yn9a7xZu5BNQBbXVfpump,0.000179,53.3,0.1906158357771261,9226.23,30879.55,h1
2026-08-19T09:45:00+00:00,ZARD/ETH,CHARIZARD,robinhood,uniswap,0xfc0a05c97ebc39c8e1b7f4b133c7a107632a062fa796e62283cce678b03f52fe,0x53e987cd9F8Ee984d999d1fb0b0DFd98E81d0528,2.502e-05,-2.31,-0.0526315789473684,2682.75,17272.26,h1
2026-08-19T09:45:00+00:00,SOLCAT/SOL,SOLCAT,solana,pumpswap,F8RP1gi6qRoZi9xNYJZRmhXFhpmucUc9CoZR3hRuBzUF,4skFA8FequaJV8Zd3njafvMvmX4yVbnzmBRo4jXVpump,0.0002127,-12.34,0.0179738562091503,7868.05,37437.29,h1
2026-08-19T09:45:00+00:00,CGX/SOL,CryptoGDEX,solana,pumpswap,7n9drBwKK4LxgW8kVhx8VZw8FaGupjJH6ebhyNDXj9XB,6E8fPgsBvwjGRHcoeLUW8iugy736SKo54VvYLbYMpump,0.0001779,-11.63,-0.0588235294117647,1420.35,29928.18,h1
2026-08-19T09:45:00+00:00,BABYANSEM/SOL,The Black Baby Bull,solana,pumpswap,Hwf7k8jtKJS4gGFg7DTmiaBuGgoejktCSQiXeTkW1S1s,9HNEutCZLoo6GZWQTmAgVvbtmLGV1mdeR8X3HWTooYXt,0.0002412,9.77,-0.0373134328358208,12972.67,36316.14,h1
2026-08-19T09:45:00+00:00,IF/WETH,What If,robinhood,uniswap,0x39A200271525E9641e799127bdAB299DAeF21953,0x232CDFc415D10b673845D83Dc02ba2eaBe7e30d1,0.01323,0.46,-0.0952380952380952,9684.72,479306.23,h1
2026-08-19T09:45:00+00:00,MEMESLY/SOL,MEMESLY,solana,pumpswap,Ayk5yA1PTkjgwn3My9ERGyT55t3Dinyf9zfDFVSuimSb,6ZC5kpZf9kLfxwMc4QVZfGJksTLrZQUTmKJCDaaopump,3.081e-05,0.18,0.0,25.9,11596.03,h1
2026-08-19T09:45:00+00:00,ZBULL/SOL,Z500 Bull,solana,pumpswap,4d1zHqd7puCebM8jG8KmgK4rYLDc1gcY389WNm5s4xu8,FqBzU27KvwRKki7ZLzVMBgtKaVjdE64nfEkL1An1pump,1.575e-06,-0.83,0.0,3.07,1702.35,h1
2026-08-19T09:45:00+00:00,DOGEZILL/ETH,Dogezilla,robinhood,uniswap,0x304e60db5e404dccd349fe4f9b9859f3028f714d0a4409ad9ad4d2d36aa02574,0xBaF83f1A1774BB3f24779E9DdDc6A80Fa9250045,0.0005644,-23.29,-0.3878260869565217,52081.76,100877.57,h1
2026-08-19T09:45:00+00:00,LEMON/WETH,Lemon.fun,robinhood,uniswap,0x01fe057d1C5FB09A4ac02860758DDf26Df9336B5,0xf0E17e54239CD945Cd7bEa471a3a2CA6a8C7f7A3,0.001068,0.94,-0.4042553191489361,1214.8,151282.63,h1
2026-08-19T09:45:00+00:00,SAME/SOL,We're the Same,solana,pumpswap,6ATBRU6GYBP1DWB6XEjdUww8vB8HLVNi1ToMxLnrFjyr,CU5e2iqWkXKrEHrg6fgoV6uqptEWL9M98oeU4skpump,0.0004905,5.36,-0.4,28370.44,59401.42,h1
2026-08-19T09:45:00+00:00,PANTS/SOL,dogwifpants,solana,pumpswap,6tMVLioTrzW65RWRAftNWPSf1JikYWRVsP87w9h9em2a,FtateF34Xzawa91bpbVNdX72hZYo9cymRDYqBreHHbJi,0.0002933,813.0,0.1490514905149051,62599.98,38727.78,h1
2026-08-19T09:45:00+00:00,GUH/ETH,guh,robinhood,uniswap,0xa0736f92854c6ef707d8c50ad106a93a1166d6497012db3e25b1d494d0a9b97d,0x601d03F379303C2ca5c2D8711B22CB96b294f3d7,0.0001876,0.1,-0.5,76.24,98950.23,h1
2026-08-19T09:45:00+00:00,QBULL/SOL,Qenis Bull,solana,pumpswap,D9qPYEdmS34LtVSNVRHxQ36t5Md5GNPVkbATNUCP8mQU,8sxdRtLdtaYdHis1VSkCJoZUNVZXiaEKEUomzPRTpump,1.493e-06,-3.1,-1.0,30.05,1542.57,h1
2026-08-19T09:45:00+00:00,CATSEYE/SOL,CATSEYE,solana,pumpswap,AXNo7fLEPFEKR8zmjkeoUJhj3bcWE1PnycufUw1veLPr,7TGno7LGF4mJHT1mvBMsthaEmavcKM5H8ojXCVcJpump,5.723e-06,-1.91,-1.0,15.17,4295.19,h1
2026-08-19T09:56:00+00:00,GOKU/SOL,Raj Goku,solana,pumpswap,8nkY4EvYR2JJeyNZEQQoHNXz4v5AEqbrj6t1yhXwtmkD,8nQiFQVVrqs2om3DjeUqVECg3qDYyMjREC6AzFWyGoKU,1.965e-06,-93.82,-0.0220588235294117,19096.26,1912.32,h1
2026-08-19T09:56:00+00:00,UTANG/SOL,UTANG,solana,pumpswap,HsVXAyoM24AKSq3xdKeR4aDFJ9gKZAN8JNcguj9zHvnn,3CCGVkwXXTQLDL3HUqV2fBBzazHopMrWYgqU5wvvpump,1.547e-06,-99.19,-0.0025974025974025,84883.16,1567.16,h1
2026-08-19T09:56:00+00:00,SOLUG/SOL,Solug,solana,pumpswap,HyPxvGY6wr3f2osi5NDAnAZ2W8wJ185yUKMy37SbHWvC,FJBWgfc8wdEeUc2n7BN9EcmEJQUauvvpp9ZXvmF2pump,0.0007715,81.2,0.2515195369030391,182858.65,69335.52,h1
